angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[477, 212, 319, 414]",0.0,0.01,0.0,0.91,0.06,0.0
0.1,"[479, 219, 303, 383]",0.0,0.01,0.0,0.71,0.17,0.01
0.05,"[480, 205, 299, 384]",0.0,0.0,0.0,0.69,0.25,0.0
0.04,"[463, 175, 329, 458]",0.0,0.09,0.13,0.63,0.09,0.03
0.04,"[468, 196, 313, 437]",0.0,0.04,0.28,0.54,0.1,0.0
0.03,"[459, 256, 313, 421]",0.0,0.08,0.05,0.76,0.05,0.03
0.05,"[460, 213, 340, 441]",0.0,0.29,0.0,0.46,0.15,0.03
0.02,"[472, 181, 355, 490]",0.0,0.06,0.01,0.81,0.1,0.0
0.11,"[469, 154, 350, 465]",0.0,0.08,0.03,0.61,0.12,0.05
0.03,"[452, 46, 396, 541]",0.0,0.11,0.05,0.71,0.1,0.01
0.05,"[448, 57, 401, 547]",0.0,0.1,0.11,0.57,0.15,0.01
0.05,"[456, 135, 370, 488]",0.0,0.13,0.05,0.65,0.1,0.02
0.04,"[448, 117, 365, 488]",0.0,0.14,0.12,0.52,0.17,0.01
0.02,"[493, 131, 354, 469]",0.0,0.04,0.38,0.48,0.06,0.03
0.02,"[444, 144, 347, 484]",0.0,0.2,0.02,0.46,0.28,0.01
0.1,"[432, 80, 394, 498]",0.0,0.3,0.15,0.08,0.23,0.15
0.23,"[434, 145, 345, 436]",0.0,0.29,0.02,0.12,0.28,0.05
0.01,"[479, 116, 341, 465]",0.0,0.02,0.13,0.8,0.05,0.0
0.01,"[477, 105, 331, 460]",0.0,0.03,0.06,0.84,0.05,0.0
0.01,"[452, 121, 366, 481]",0.0,0.0,0.66,0.32,0.01,0.0
0.06,"[491, 132, 343, 467]",0.0,0.11,0.07,0.53,0.18,0.04
0.01,"[466, 83, 370, 520]",0.0,0.01,0.63,0.34,0.01,0.01
0.02,"[473, 88, 358, 513]",0.0,0.03,0.31,0.58,0.05,0.01
0.06,"[477, 114, 348, 470]",0.0,0.32,0.0,0.28,0.11,0.23
0.06,"[462, 87, 367, 522]",0.0,0.05,0.13,0.65,0.06,0.06
0.08,"[457, 82, 359, 505]",0.0,0.04,0.03,0.76,0.07,0.01
0.02,"[437, 79, 370, 515]",0.0,0.03,0.1,0.76,0.08,0.01
0.05,"[458, 127, 350, 460]",0.0,0.17,0.02,0.58,0.15,0.03
0.04,"[482, 95, 352, 494]",0.0,0.09,0.04,0.72,0.09,0.02
0.02,"[473, 103, 361, 505]",0.0,0.14,0.03,0.6,0.2,0.01
0.04,"[459, 85, 375, 529]",0.0,0.08,0.22,0.51,0.1,0.05
0.02,"[470, 92, 363, 509]",0.0,0.06,0.11,0.73,0.07,0.01
0.01,"[471, 146, 336, 445]",0.0,0.01,0.13,0.8,0.04,0.0
0.02,"[470, 145, 346, 459]",0.0,0.02,0.12,0.79,0.04,0.01
